job title,company working,location working,salary,link
Advanced Clinical Practitioner,HAYS SPECIALIST RECRUITMENT LIMITED,NOTTINGHAM,£44.00 - £65.00 PER HOUR,https://www.adzuna.co.uk/jobs/land/ad/4473737659?se=8sC7hSKZ7hGKAGh4oLKyPw&title=%3Cstrong%3EAdvanced%3C%2Fstrong%3E_Clinical_%3Cstrong%3EPractitioner%3C%2Fstrong%3E&v=31C41BF515CA98244074BA34D00C39166B95AAA1
Advanced Nurse Practitioner,PUROSEARCH,SHEFFIELD,,https://www.adzuna.co.uk/jobs/details/4473884871?title=%3Cstrong%3EAdvanced%3C%2Fstrong%3E_Nurse_%3Cstrong%3EPractitioner%3C%2Fstrong%3E
Advanced Nurse Practitioner,HCA HEALTHCARE UK,ENGLAND,,https://www.adzuna.co.uk/jobs/details/4475266605?title=%3Cstrong%3EAdvanced%3C%2Fstrong%3E_Nurse_%3Cstrong%3EPractitioner%3C%2Fstrong%3E
PCN Advanced Paramedic Practitioner,NHS JOBS,FARNHAM GU9 9QS,,https://www.adzuna.co.uk/jobs/details/4474969930?title=PCN_%3Cstrong%3EAdvanced%3C%2Fstrong%3E_Paramedic_%3Cstrong%3EPractitioner%3C%2Fstrong%3E
Advanced Clinical Practitioner - Cardiology,NORTHERN CARE ALLIANCE NHS GROUP,SALFORD,50952.00 GBP PER YEAR,https://www.adzuna.co.uk/jobs/details/4474441579?title=%3Cstrong%3EAdvanced%3C%2Fstrong%3E_Clinical_%3Cstrong%3EPractitioner%3C%2Fstrong%3E_-_Cardiology
Advanced Nurse Practitioner - Band 8a,HCRG CARE GROUP,"BATH, AVON, BA2 8SG",,https://www.adzuna.co.uk/jobs/details/4474379292?title=%3Cstrong%3EAdvanced%3C%2Fstrong%3E_Nurse_%3Cstrong%3EPractitioner%3C%2Fstrong%3E_-_Band_8a
Advanced Clinical Practitioner - Band 8a,HCRG CARE GROUP,"SOUTH WEST, PEASEDOWN ST JOHN",£50952 - £57349 PA,https://www.adzuna.co.uk/jobs/details/4474391494?title=%3Cstrong%3EAdvanced%3C%2Fstrong%3E_Clinical_%3Cstrong%3EPractitioner%3C%2Fstrong%3E_-_Band_8a
Advanced Nurse Practitioner - Band 8a,HCRG CARE GROUP,"SOUTH WEST, PEASEDOWN ST JOHN",£50952 - £57349 PA,https://www.adzuna.co.uk/jobs/details/4474391479?title=%3Cstrong%3EAdvanced%3C%2Fstrong%3E_Nurse_%3Cstrong%3EPractitioner%3C%2Fstrong%3E_-_Band_8a
"Advanced Nurse Practitioner Job, near Yeovil",PROSPECT HEALTH,SOMERSET,50000 - 50000 PA,https://www.adzuna.co.uk/jobs/details/4474413627?title=%3Cstrong%3EAdvanced%3C%2Fstrong%3E_Nurse_%3Cstrong%3EPractitioner%3C%2Fstrong%3E_Job%2C_near_Yeovil
Acute Oncology Advanced Clinical Practitioner,KING'S COLLEGE HOSPITAL,"BROMLEY, ENGLAND",,https://www.adzuna.co.uk/jobs/details/4474976217?title=Acute_Oncology_%3Cstrong%3EAdvanced%3C%2Fstrong%3E_Clinical_%3Cstrong%3EPractitioner%3C%2Fstrong%3E
Primary Care Advanced Clinical Practitioner,NHS JOBS,NESTON CH64 3RA,"£50,952 TO £57,349",https://www.adzuna.co.uk/jobs/details/4474969461?title=Primary_Care_%3Cstrong%3EAdvanced%3C%2Fstrong%3E_Clinical_%3Cstrong%3EPractitioner%3C%2Fstrong%3E
Advanced Nurse Practitioner/ trainee ANP/Annexe 21 - Care Home Nursing Team,NHS GREATER GLASGOW & CLYDE,PORT DUNDAS,"BAND 7 (£46,244 - £53,789)",https://www.adzuna.co.uk/jobs/details/4474187785?title=%3Cstrong%3EAdvanced%3C%2Fstrong%3E_Nurse_%3Cstrong%3EPractitioner%3C%2Fstrong%3E%2F_trainee_ANP%2FAnnexe_21_-_Care_Home_Nursing_Team
Critical Care Outreach Advanced Clinical Practitioner,UNIVERSITY HOSPITAL SOUTHAMPTON,SOUTHAMPTON,,https://www.adzuna.co.uk/jobs/details/4472799418?title=Critical_Care_Outreach_%3Cstrong%3EAdvanced%3C%2Fstrong%3E_Clinical_%3Cstrong%3EPractitioner%3C%2Fstrong%3E
Advanced Surgical Care Practitioner,SPIRE HEALTHCARE LTD,"SOUTHEND-ON-SEA, ESSEX, SS2 4XH",£45000 - £55000 PER ANNUM,https://www.adzuna.co.uk/jobs/details/4474557601?title=%3Cstrong%3EAdvanced%3C%2Fstrong%3E_Surgical_Care_%3Cstrong%3EPractitioner%3C%2Fstrong%3E
Advanced Clinical Practitioner (Part Time) - HMP Isle of Wight,NHS JOBS,NEWPORT PO30 5RS,"£55,000 TO £55,000",https://www.adzuna.co.uk/jobs/details/4474969880?title=%3Cstrong%3EAdvanced%3C%2Fstrong%3E_Clinical_%3Cstrong%3EPractitioner%3C%2Fstrong%3E_%28Part_Time%29_-_HMP_Isle_of_Wight
Self-Employed Advanced Clinical / Nurse Practitioner,NHS JOBS,WORCESTER WR3 8TJ,£42 TO £47,https://www.adzuna.co.uk/jobs/details/4474970769?title=Self-Employed_%3Cstrong%3EAdvanced%3C%2Fstrong%3E_Clinical_%2F_Nurse_%3Cstrong%3EPractitioner%3C%2Fstrong%3E
Advanced Social Worker,LONDON BOROUGH OF HOUNSLOW,HOUNSLOW (CITY/TOWN),"£43,815 - £49,890 (GRADE: PO4/PO5)",https://www.adzuna.co.uk/jobs/land/ad/4473994849?se=CrEChyKZ7hGDKP-8fGOuJA&title=Advanced_Social_Worker&v=D6204C13B8C97D08AD587EFCE6BD4E93525E45C8
Occupational Therapist Adult Care,LINCOLNSHIRE COUNTY COUNCIL,"SLEAFORD, LINCOLNSHIRE","£33,024 - £40,221",https://www.adzuna.co.uk/jobs/land/ad/4474110757?se=CrEChyKZ7hGDKP-8fGOuJA&title=Occupational_Therapist_Adult_Care&v=0F93AB7D0E545FB3401763D5AF7CD825E4E143A5
Advanced MSK Clinician - Osteopath,NHS JOBS,"WITNEY OX28 5YT, CHIPPING NORTON OX7 5FA, HENLEY-ON-THAMES RG9 2EB","£41,400.00 TO £56,925.00",https://www.adzuna.co.uk/jobs/details/4474969226?title=Advanced_MSK_Clinician_-_Osteopath
Theatre Scrub Practitioner - Laparoscopic & Robotic,JUPITER RECRUITMENT,"SOUTH WEST LONDON, LONDON, SW5 0TU",£34703 - £41643 PER ANNUM,https://www.adzuna.co.uk/jobs/details/4474556993?title=Theatre_Scrub_Practitioner_-_Laparoscopic_%26_Robotic
"Anaesthetic Nurse/ODP - Cardiac, ENT, Orto & General",JUPITER RECRUITMENT,"SOUTH WEST LONDON, LONDON, SW5 0TU",£32500 - £41643 PER ANNUM,https://www.adzuna.co.uk/jobs/details/4474556927?title=Anaesthetic_Nurse%2FODP_-_Cardiac%2C_ENT%2C_Orto_%26_General
Remote Advanced Nurse Practitoner,HEALTHHERO,BRACKNELL,,https://www.adzuna.co.uk/jobs/details/4473697927?title=Remote_Advanced_Nurse_Practitoner
Advanced Social Worker,LONDON BOROUGH OF HOUNSLOW,HOUNSLOW (CITY/TOWN),"£43,815 - £49,890 (GRADE: PO4/PO5)",https://www.adzuna.co.uk/jobs/land/ad/4473994849?se=KAZ1iCKZ7hGDKP-8fGOuJA&title=Advanced_Social_Worker&v=D6204C13B8C97D08AD587EFCE6BD4E93525E45C8
Salaried GP,MENLO PARK RECRUITMENT,"GLOUCESTER, GLOUCESTERSHIRE",£80000 - £108000 PER ANNUM + INDEMNITY PAI…,https://www.adzuna.co.uk/jobs/details/4474556826?title=Salaried_GP
Occupational Therapist Adult Care,LINCOLNSHIRE COUNTY COUNCIL,"SLEAFORD, LINCOLNSHIRE","£33,024 - £40,221",https://www.adzuna.co.uk/jobs/land/ad/4474110757?se=KAZ1iCKZ7hGDKP-8fGOuJA&title=Occupational_Therapist_Adult_Care&v=0F93AB7D0E545FB3401763D5AF7CD825E4E143A5
Advanced MSK Clinician - Osteopath,NHS JOBS,"WITNEY OX28 5YT, CHIPPING NORTON OX7 5FA, HENLEY-ON-THAMES RG9 2EB","£41,400.00 TO £56,925.00",https://www.adzuna.co.uk/jobs/details/4474969226?title=Advanced_MSK_Clinician_-_Osteopath
Advanced MSK Clinician - Sports Therapy,NHS JOBS,"WITNEY OX28 5YT, CHIPPING NORTON OX7 5FA, HENLEY-ON-THAMES RG9 2EB","£41,400.00 TO £56,925.00",https://www.adzuna.co.uk/jobs/details/4474969204?title=Advanced_MSK_Clinician_-_Sports_Therapy
Advanced MSK Clinician - Sports Therapist,NHS JOBS,"WEMBLEY HA0 4UZ, LONDON NW10 3RY","£41,400.00 TO £56,925.00",https://www.adzuna.co.uk/jobs/details/4474969157?title=Advanced_MSK_Clinician_-_Sports_Therapist
Vet Surgeon Vacancy - Surgery Interest - Halifax Area (to £65K),MEDICUS RESOURCING LIMITED,YORKSHIRE,£65K,https://www.adzuna.co.uk/jobs/details/4475083960?title=Vet_Surgeon_Vacancy_-_Surgery_Interest_-_Halifax_Area_%28to_%C2%A365K%29
Theatre Practitioner - Anaesthetics,JUPITER RECRUITMENT,SOUTH WEST LONDON,£32500 - £41643 PER ANNUM,https://www.adzuna.co.uk/jobs/details/4474396450?title=Theatre_Practitioner_-_Anaesthetics
Anaesthetic Practitioner/ODP,JUPITER RECRUITMENT,"SOUTH WEST LONDON, LONDON, SW5 0TU",£36089 - £43308 PER ANNUM,https://www.adzuna.co.uk/jobs/details/4474556930?title=Anaesthetic_Practitioner%2FODP
Theatre Scrub Practitioner - Laparoscopic & Robotic,JUPITER RECRUITMENT,"SOUTH WEST LONDON, LONDON, SW5 0TU",£34703 - £41643 PER ANNUM,https://www.adzuna.co.uk/jobs/details/4474556993?title=Theatre_Scrub_Practitioner_-_Laparoscopic_%26_Robotic
"Anaesthetic Nurse/ODP - Cardiac, ENT, Orto & General",JUPITER RECRUITMENT,"SOUTH WEST LONDON, LONDON, SW5 0TU",£32500 - £41643 PER ANNUM,https://www.adzuna.co.uk/jobs/details/4474556927?title=Anaesthetic_Nurse%2FODP_-_Cardiac%2C_ENT%2C_Orto_%26_General
Therapeutic Radiographer,UNIVERSITY HOSPITAL SOUTHAMPTON,SOUTHAMPTON,,https://www.adzuna.co.uk/jobs/details/4472799456?title=Therapeutic_Radiographer
Lead Nurse - Care Homes and Care at Home,NHS SCOTLAND,NORTH AYRSHIRE,"BAND 8A (£56,992 - £61,522)",https://www.adzuna.co.uk/jobs/details/4473915161?title=Lead_Nurse_-_Care_Homes_and_Care_at_Home
Veterinary Surgeon,VETS FOR PETS,"TOTTON, HAMPSHIRE",,https://www.adzuna.co.uk/jobs/details/4473816348?title=Veterinary_Surgeon
"Anaesthetic Nurse/ODP - Cardiac, ENT, Orto & General",JUPITER RECRUITMENT,SOUTH WEST LONDON,£32500 - £41643 PER ANNUM,https://www.adzuna.co.uk/jobs/details/4474396658?title=Anaesthetic_Nurse%2FODP_-_Cardiac%2C_ENT%2C_Orto_%26_General
Anaesthetic Practitioner/ODP,JUPITER RECRUITMENT,SOUTH WEST LONDON,£36089 - £43308 PER ANNUM,https://www.adzuna.co.uk/jobs/details/4474396638?title=Anaesthetic_Practitioner%2FODP
Remote Advanced Nurse Practitoner,HEALTHHERO,BRACKNELL,,https://www.adzuna.co.uk/jobs/details/4473697927?title=Remote_Advanced_Nurse_Practitoner
Consultant in Rehabilitation Medicine,NHS JOBS,STOKE ON TRENT ST6 7AG,"£93,666 TO £126,281",https://www.adzuna.co.uk/jobs/details/4474969182?title=Consultant_in_Rehabilitation_Medicine
Graduate Veterinary Surgeon - Graduate Development Programme,VETS FOR PETS,COLCHESTER,,https://www.adzuna.co.uk/jobs/details/4473812904?title=Graduate_Veterinary_Surgeon_-_Graduate_Development_Programme
Veterinary Surgeon,IVC EVIDENSIA,"WOLVERHAMPTON, ENGLAND, WV1 1",,https://www.adzuna.co.uk/jobs/details/4474975468?title=Veterinary_Surgeon
School Hours Veterinary Surgeon - Flexible Working That Offers Real Flex,"HIGHCLIFF VETERINARY PRACTICE, BRANTHAM PRACTICE","CO11 1QL, MANNINGTREE",,https://www.adzuna.co.uk/jobs/details/4473811519?title=School_Hours_Veterinary_Surgeon_-_Flexible_Working_That_Offers_Real_Flex
Senior Veterinary Surgeon,ARK VETERINARY PRACTICE,"S21 1DY, SHEFFIELD",,https://www.adzuna.co.uk/jobs/details/4473794648?title=Senior_Veterinary_Surgeon
Veterinary Surgeon,"ALPHAVET VETERINARY CENTRE, RISCA BRANCH","NP18 2LH, NEWPORT",,https://www.adzuna.co.uk/jobs/details/4473794946?title=Veterinary_Surgeon
Veterinary Surgeon,"HIGHCLIFF VETERINARY PRACTICE, BRANTHAM PRACTICE","CO11 1QL, MANNINGTREE",,https://www.adzuna.co.uk/jobs/details/4473812095?title=Veterinary_Surgeon
Tissue Viability Specialist Nurse Band 7,NHS JOBS,CHEAM SM3 8EP,"£49,178 TO £55,492",https://www.adzuna.co.uk/jobs/details/4474969288?title=Tissue_Viability_Specialist_Nurse_Band_7
Community Nurse,NHS SCOTLAND,"KIRKWALL, KW15 1NZ","BAND 5 (£30,229 - £37,664)",https://www.adzuna.co.uk/jobs/details/4473915507?title=Community_Nurse
Salaried GP,NHS JOBS,PETERBOROUGH PE1 2QP,"£11,000",https://www.adzuna.co.uk/jobs/details/4474969143?title=Salaried_GP
Salaried GP,NHS JOBS,PETERBOROUGH PE1 2QP,"£11,000",https://www.adzuna.co.uk/jobs/details/4474969143?title=Salaried_GP
Programme Director Shared Services Business Transformation & Synergy Programme,UK MINISTRY OF DEFENSE,"LONDON, ENG, SW1A 2",,https://www.adzuna.co.uk/jobs/details/4474974839?title=Programme_Director_Shared_Services_Business_Transformation_%26_Synergy_Programme
Specialist Physiotherapist/Exercise Specialist Cardiac Rehab,KING'S COLLEGE HOSPITAL,"ORPINGTON, ENGLAND",,https://www.adzuna.co.uk/jobs/details/4474974461?title=Specialist_Physiotherapist%2FExercise_Specialist_Cardiac_Rehab
Team Lead MSK Physiotherapist/First Contact Practitioner,KING'S COLLEGE HOSPITAL,"LONDON, ENG, SW1A 2",,https://www.adzuna.co.uk/jobs/details/4474976271?title=Team_Lead_MSK_Physiotherapist%2FFirst_Contact_Practitioner
Consultant in Acute Medicine,NHS 4 reviews,DEVON,,https://www.adzuna.co.uk/jobs/details/4472986328?title=Consultant_in_Acute_Medicine
Learning Support Assistant,UK MINISTRY OF DEFENSE,"LYNEHAM, ENGLAND",,https://www.adzuna.co.uk/jobs/details/4474976812?title=Learning_Support_Assistant
Head of Built Environment Innovation,UK MINISTRY OF DEFENSE,"LONDON, ENG, SW1A 2",,https://www.adzuna.co.uk/jobs/details/4474974502?title=Head_of_Built_Environment_Innovation
Practice Nurse - Bellevue Surgery,NHS JOBS,NEWPORT NP20 2WQ,,https://www.adzuna.co.uk/jobs/details/4474969687?title=Practice_Nurse_-_Bellevue_Surgery
ANP/Nurse Practitioner,NHS JOBS,"LOWESTOFT NR32 1PL, LOWESTOFT NR32 4TW",,https://www.adzuna.co.uk/jobs/details/4474558325?title=ANP%2FNurse_Practitioner
Salaried GP PWE Healthcare,NHS JOBS,"NELSON BB9 7SR, NELSON BB9 5SN, NELSON BB9 9SZ, ACCRINGTON BB5 6AS, RAWTENSTALL BB4 7PL",,https://www.adzuna.co.uk/jobs/details/4474555763?title=Salaried_GP_PWE_Healthcare
